Apr. 7, 2019   11:44:27
A.C. Voltammetry
File: D:\process\data\acv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 50
Sample Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Potential/V, Total(i/A), In-phase(i/A), Out-of-phase(i/A)

0.496, 4.055e-6, 1.453e-6, 3.785e-6
0.492, 4.039e-6, 1.443e-6, 3.773e-6
0.488, 4.030e-6, 1.431e-6, 3.768e-6
0.484, 4.017e-6, 1.435e-6, 3.752e-6
0.480, 4.009e-6, 1.422e-6, 3.749e-6
0.476, 3.990e-6, 1.412e-6, 3.732e-6
0.472, 3.992e-6, 1.410e-6, 3.735e-6
0.468, 3.981e-6, 1.397e-6, 3.727e-6
0.464, 3.978e-6, 1.398e-6, 3.724e-6
0.460, 3.971e-6, 1.389e-6, 3.720e-6
0.456, 3.962e-6, 1.380e-6, 3.715e-6
0.452, 3.951e-6, 1.380e-6, 3.702e-6
0.448, 3.958e-6, 1.384e-6, 3.708e-6
0.444, 3.954e-6, 1.374e-6, 3.708e-6
0.440, 3.951e-6, 1.373e-6, 3.705e-6
0.436, 3.953e-6, 1.370e-6, 3.708e-6
0.432, 3.950e-6, 1.368e-6, 3.705e-6
0.428, 3.950e-6, 1.366e-6, 3.707e-6
0.424, 3.955e-6, 1.363e-6, 3.712e-6
0.420, 3.958e-6, 1.369e-6, 3.714e-6
0.416, 3.961e-6, 1.365e-6, 3.718e-6
0.412, 3.963e-6, 1.362e-6, 3.721e-6
0.408, 3.967e-6, 1.368e-6, 3.723e-6
0.404, 3.967e-6, 1.366e-6, 3.725e-6
0.400, 3.973e-6, 1.368e-6, 3.730e-6
0.396, 3.979e-6, 1.366e-6, 3.737e-6
0.392, 3.990e-6, 1.372e-6, 3.746e-6
0.388, 4.001e-6, 1.381e-6, 3.756e-6
0.384, 4.007e-6, 1.384e-6, 3.760e-6
0.380, 4.023e-6, 1.389e-6, 3.775e-6
0.376, 4.031e-6, 1.398e-6, 3.780e-6
0.372, 4.042e-6, 1.413e-6, 3.787e-6
0.368, 4.062e-6, 1.421e-6, 3.805e-6
0.364, 4.079e-6, 1.435e-6, 3.818e-6
0.360, 4.096e-6, 1.453e-6, 3.830e-6
0.356, 4.115e-6, 1.469e-6, 3.844e-6
0.352, 4.146e-6, 1.496e-6, 3.866e-6
0.348, 4.177e-6, 1.527e-6, 3.887e-6
0.344, 4.205e-6, 1.550e-6, 3.909e-6
0.340, 4.232e-6, 1.580e-6, 3.926e-6
0.336, 4.290e-6, 1.633e-6, 3.967e-6
0.332, 4.336e-6, 1.677e-6, 3.998e-6
0.328, 4.390e-6, 1.728e-6, 4.035e-6
0.324, 4.461e-6, 1.793e-6, 4.085e-6
0.320, 4.539e-6, 1.870e-6, 4.136e-6
0.316, 4.636e-6, 1.949e-6, 4.206e-6
0.312, 4.729e-6, 2.046e-6, 4.263e-6
0.308, 4.862e-6, 2.171e-6, 4.350e-6
0.304, 4.993e-6, 2.290e-6, 4.437e-6
0.300, 5.158e-6, 2.445e-6, 4.542e-6
0.296, 5.340e-6, 2.605e-6, 4.662e-6
0.292, 5.553e-6, 2.806e-6, 4.792e-6
0.288, 5.783e-6, 3.019e-6, 4.933e-6
0.284, 6.064e-6, 3.266e-6, 5.109e-6
0.280, 6.378e-6, 3.542e-6, 5.304e-6
0.276, 6.733e-6, 3.866e-6, 5.513e-6
0.272, 7.114e-6, 4.211e-6, 5.734e-6
0.268, 7.513e-6, 4.561e-6, 5.970e-6
0.264, 7.983e-6, 4.986e-6, 6.234e-6
0.260, 8.478e-6, 5.425e-6, 6.516e-6
0.256, 9.011e-6, 5.903e-6, 6.808e-6
0.252, 9.522e-6, 6.362e-6, 7.085e-6
0.248, 1.009e-5, 6.865e-6, 7.397e-6
0.244, 1.066e-5, 7.366e-6, 7.703e-6
0.240, 1.124e-5, 7.898e-6, 8.003e-6
0.236, 1.180e-5, 8.391e-6, 8.292e-6
0.232, 1.226e-5, 8.807e-6, 8.530e-6
0.228, 1.274e-5, 9.240e-6, 8.766e-6
0.224, 1.313e-5, 9.599e-6, 8.954e-6
0.220, 1.344e-5, 9.871e-6, 9.121e-6
0.216, 1.367e-5, 1.008e-5, 9.229e-6
0.212, 1.378e-5, 1.019e-5, 9.281e-6
0.208, 1.380e-5, 1.022e-5, 9.272e-6
