Apr. 7, 2019   13:54:17
Bulk Electrolysis with Coulometry
File: D:\process\data\bel.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0
End Current Ratio (%) = 0
Data Storage Interval (s) = 1

Total Q = 5.6334e-5C
End i = 5.2991e-7A

Time/sec, Charge/C, Current/A

1.000, 6.556e-6, 6.556e-6
2.000, 9.579e-6, 3.024e-6
3.000, 1.174e-5, 2.163e-6
4.000, 1.356e-5, 1.822e-6
5.000, 1.517e-5, 1.608e-6
6.000, 1.663e-5, 1.459e-6
7.000, 1.798e-5, 1.349e-6
8.000, 1.924e-5, 1.262e-6
9.000, 2.043e-5, 1.192e-6
10.000, 2.157e-5, 1.134e-6
11.000, 2.265e-5, 1.084e-6
12.000, 2.369e-5, 1.042e-6
13.000, 2.470e-5, 1.004e-6
14.000, 2.567e-5, 9.716e-7
15.000, 2.661e-5, 9.426e-7
16.000, 2.753e-5, 9.163e-7
17.000, 2.842e-5, 8.926e-7
18.000, 2.929e-5, 8.707e-7
19.000, 3.014e-5, 8.510e-7
20.000, 3.098e-5, 8.328e-7
21.000, 3.179e-5, 8.158e-7
22.000, 3.259e-5, 8.002e-7
23.000, 3.338e-5, 7.858e-7
24.000, 3.415e-5, 7.721e-7
25.000, 3.491e-5, 7.595e-7
26.000, 3.566e-5, 7.476e-7
27.000, 3.639e-5, 7.365e-7
28.000, 3.712e-5, 7.259e-7
29.000, 3.784e-5, 7.159e-7
30.000, 3.854e-5, 7.065e-7
31.000, 3.924e-5, 6.975e-7
32.000, 3.991e-5, 6.711e-7
33.000, 4.057e-5, 6.630e-7
34.000, 4.123e-5, 6.553e-7
35.000, 4.188e-5, 6.479e-7
36.000, 4.252e-5, 6.408e-7
37.000, 4.315e-5, 6.340e-7
38.000, 4.378e-5, 6.275e-7
39.000, 4.440e-5, 6.212e-7
40.000, 4.502e-5, 6.152e-7
41.000, 4.562e-5, 6.095e-7
42.000, 4.623e-5, 6.039e-7
43.000, 4.683e-5, 5.985e-7
44.000, 4.742e-5, 5.934e-7
45.000, 4.801e-5, 5.884e-7
46.000, 4.859e-5, 5.836e-7
47.000, 4.917e-5, 5.789e-7
48.000, 4.975e-5, 5.744e-7
49.000, 5.032e-5, 5.701e-7
50.000, 5.088e-5, 5.659e-7
51.000, 5.144e-5, 5.618e-7
52.000, 5.200e-5, 5.578e-7
53.000, 5.256e-5, 5.540e-7
54.000, 5.311e-5, 5.502e-7
55.000, 5.365e-5, 5.466e-7
56.000, 5.420e-5, 5.431e-7
57.000, 5.474e-5, 5.397e-7
58.000, 5.527e-5, 5.363e-7
59.000, 5.580e-5, 5.332e-7
60.000, 5.633e-5, 5.299e-7
