Apr. 7, 2019   11:52:02
Differential Pulse Amperometry
File: D:\process\data\dpa1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Clean E (V) = 0
Clean T (sec) = 0
Pulse E1 (V) = 0.25
Pulse T1 (s) = 0.1
Pulse E2 (V) = 0.2
Pulse T2 (s) = 0.1
Run Time (sec) = 40
Init E (V) = 0.25
Quiet Time (sec) = 5
Sensitivity (A/V) = 1e-5


Time/s, Diff(i/A), For(i/A), Rev(i/A)

0.200, -4.682e-6, -7.350e-7, 3.947e-6
0.400, -5.672e-6, -2.321e-6, 3.351e-6
0.600, -5.789e-6, -2.651e-6, 3.138e-6
0.800, -5.828e-6, -2.801e-6, 3.027e-6
1.000, -5.846e-6, -2.886e-6, 2.960e-6
1.200, -5.856e-6, -2.941e-6, 2.915e-6
1.400, -5.862e-6, -2.978e-6, 2.884e-6
1.600, -5.866e-6, -3.004e-6, 2.862e-6
1.800, -5.868e-6, -3.023e-6, 2.846e-6
2.000, -5.870e-6, -3.037e-6, 2.833e-6
2.200, -5.871e-6, -3.047e-6, 2.824e-6
2.400, -5.872e-6, -3.054e-6, 2.818e-6
2.600, -5.873e-6, -3.060e-6, 2.813e-6
2.800, -5.873e-6, -3.063e-6, 2.810e-6
3.000, -5.873e-6, -3.066e-6, 2.807e-6
3.200, -5.873e-6, -3.067e-6, 2.806e-6
3.400, -5.873e-6, -3.068e-6, 2.805e-6
3.600, -5.874e-6, -3.069e-6, 2.805e-6
3.800, -5.873e-6, -3.068e-6, 2.805e-6
4.000, -5.873e-6, -3.068e-6, 2.805e-6
4.200, -5.873e-6, -3.066e-6, 2.806e-6
4.400, -5.873e-6, -3.065e-6, 2.808e-6
4.600, -5.872e-6, -3.063e-6, 2.809e-6
4.800, -5.872e-6, -3.062e-6, 2.810e-6
5.000, -5.872e-6, -3.060e-6, 2.812e-6
5.200, -5.872e-6, -3.058e-6, 2.815e-6
5.400, -5.872e-6, -3.056e-6, 2.816e-6
5.600, -5.872e-6, -3.054e-6, 2.818e-6
5.800, -5.871e-6, -3.051e-6, 2.820e-6
6.000, -5.871e-6, -3.049e-6, 2.822e-6
6.200, -5.871e-6, -3.047e-6, 2.824e-6
6.400, -5.871e-6, -3.044e-6, 2.827e-6
6.600, -5.870e-6, -3.041e-6, 2.828e-6
6.800, -5.870e-6, -3.039e-6, 2.831e-6
7.000, -5.870e-6, -3.037e-6, 2.833e-6
7.200, -5.870e-6, -3.034e-6, 2.836e-6
7.400, -5.870e-6, -3.032e-6, 2.838e-6
7.600, -5.869e-6, -3.030e-6, 2.840e-6
7.800, -5.869e-6, -3.027e-6, 2.842e-6
8.000, -5.869e-6, -3.024e-6, 2.844e-6
8.200, -5.868e-6, -3.022e-6, 2.846e-6
8.400, -5.868e-6, -3.020e-6, 2.848e-6
8.600, -5.868e-6, -3.017e-6, 2.850e-6
8.800, -5.868e-6, -3.015e-6, 2.852e-6
9.000, -5.868e-6, -3.013e-6, 2.855e-6
9.200, -5.868e-6, -3.011e-6, 2.857e-6
9.400, -5.867e-6, -3.008e-6, 2.859e-6
9.600, -5.867e-6, -3.006e-6, 2.861e-6
9.800, -5.866e-6, -3.004e-6, 2.862e-6
10.000, -5.866e-6, -3.002e-6, 2.864e-6
10.200, -5.866e-6, -3.000e-6, 2.866e-6
10.400, -5.866e-6, -2.997e-6, 2.869e-6
10.600, -5.865e-6, -2.995e-6, 2.870e-6
10.800, -5.865e-6, -2.993e-6, 2.872e-6
11.000, -5.866e-6, -2.992e-6, 2.874e-6
11.200, -5.865e-6, -2.989e-6, 2.876e-6
11.400, -5.864e-6, -2.987e-6, 2.877e-6
11.600, -5.864e-6, -2.985e-6, 2.879e-6
11.800, -5.864e-6, -2.983e-6, 2.881e-6
