Apr. 7, 2019   11:56:14
A.C. Impedance
File: D:\process\data\imp1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.2
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 1
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+4, 3.140e+1, -1.597e+1, 3.523e+1, -27.0
8.105e+4, 3.261e+1, -1.547e+1, 3.610e+1, -25.4
6.641e+4, 3.432e+1, -1.440e+1, 3.722e+1, -22.8
5.469e+4, 3.530e+1, -1.546e+1, 3.854e+1, -23.6
4.590e+4, 3.562e+1, -1.481e+1, 3.858e+1, -22.6
3.711e+4, 3.611e+1, -1.505e+1, 3.912e+1, -22.6
3.125e+4, 3.630e+1, -1.568e+1, 3.954e+1, -23.4
2.539e+4, 3.727e+1, -1.814e+1, 4.145e+1, -26.0
2.148e+4, 3.929e+1, -1.963e+1, 4.392e+1, -26.6
1.758e+4, 3.966e+1, -2.245e+1, 4.558e+1, -29.5
1.465e+4, 3.939e+1, -2.587e+1, 4.712e+1, -33.3
1.172e+4, 4.207e+1, -3.074e+1, 5.210e+1, -36.2
9.668e+3, 4.149e+1, -3.143e+1, 5.205e+1, -37.1
8.105e+3, 4.307e+1, -3.654e+1, 5.648e+1, -40.3
6.641e+3, 4.469e+1, -4.309e+1, 6.208e+1, -44.0
5.469e+3, 4.749e+1, -5.039e+1, 6.924e+1, -46.7
4.590e+3, 5.005e+1, -5.824e+1, 7.679e+1, -49.3
3.711e+3, 5.478e+1, -6.758e+1, 8.700e+1, -51.0
3.125e+3, 5.923e+1, -7.950e+1, 9.914e+1, -53.3
2.539e+3, 6.729e+1, -9.202e+1, 1.140e+2, -53.8
2.148e+3, 7.293e+1, -1.044e+2, 1.273e+2, -55.1
1.758e+3, 8.189e+1, -1.214e+2, 1.465e+2, -56.0
1.465e+3, 9.314e+1, -1.396e+2, 1.679e+2, -56.3
1.172e+3, 1.103e+2, -1.595e+2, 1.939e+2, -55.3
9.668e+2, 1.205e+2, -1.807e+2, 2.171e+2, -56.3
8.105e+2, 1.409e+2, -2.029e+2, 2.470e+2, -55.2
6.641e+2, 1.544e+2, -2.321e+2, 2.788e+2, -56.4
5.469e+2, 1.830e+2, -2.573e+2, 3.157e+2, -54.6
4.590e+2, 2.062e+2, -2.906e+2, 3.564e+2, -54.6
3.711e+2, 2.310e+2, -3.116e+2, 3.879e+2, -53.4
3.125e+2, 2.687e+2, -3.593e+2, 4.487e+2, -53.2
2.539e+2, 3.092e+2, -3.878e+2, 4.960e+2, -51.4
2.148e+2, 3.422e+2, -4.320e+2, 5.511e+2, -51.6
1.758e+2, 3.782e+2, -4.731e+2, 6.057e+2, -51.4
1.465e+2, 4.256e+2, -5.395e+2, 6.871e+2, -51.7
1.172e+2, 5.005e+2, -5.849e+2, 7.698e+2, -49.4
9.766e+1, 5.591e+2, -6.182e+2, 8.335e+2, -47.9
8.138e+1, 6.212e+2, -6.808e+2, 9.216e+2, -47.6
6.975e+1, 6.900e+2, -7.507e+2, 1.020e+3, -47.4
5.744e+1, 7.637e+2, -8.261e+2, 1.125e+3, -47.2
4.650e+1, 8.423e+2, -9.073e+2, 1.238e+3, -47.1
3.756e+1, 9.295e+2, -9.983e+2, 1.364e+3, -47.0
3.150e+1, 1.023e+3, -1.097e+3, 1.500e+3, -47.0
2.570e+1, 1.127e+3, -1.207e+3, 1.652e+3, -47.0
2.123e+1, 1.245e+3, -1.324e+3, 1.818e+3, -46.8
1.744e+1, 1.376e+3, -1.456e+3, 2.003e+3, -46.6
1.436e+1, 1.525e+3, -1.589e+3, 2.202e+3, -46.2
1.191e+1, 1.698e+3, -1.754e+3, 2.441e+3, -45.9
9.766e+0, 1.912e+3, -1.931e+3, 2.717e+3, -45.3
8.071e+0, 2.106e+3, -2.125e+3, 2.992e+3, -45.3
6.643e+0, 2.327e+3, -2.349e+3, 3.307e+3, -45.3
5.486e+0, 2.564e+3, -2.594e+3, 3.647e+3, -45.3
4.542e+0, 2.818e+3, -2.867e+3, 4.020e+3, -45.5
3.742e+0, 3.133e+3, -3.171e+3, 4.458e+3, -45.3
3.090e+0, 3.464e+3, -3.483e+3, 4.912e+3, -45.2
2.550e+0, 3.852e+3, -3.910e+3, 5.489e+3, -45.4
2.105e+0, 4.229e+3, -4.301e+3, 6.032e+3, -45.5
1.738e+0, 4.812e+3, -4.996e+3, 6.937e+3, -46.1
1.434e+0, 5.271e+3, -5.479e+3, 7.603e+3, -46.1
1.184e+0, 5.783e+3, -6.015e+3, 8.344e+3, -46.1
