Apr. 7, 2019   12:00:01
Impedance - Potential
File: D:\process\data\impe1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.01
Frequency (Hz) = 100
Amplitude (V) = 0.005
Quiet Time (sec) = 2

Potential/V, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

5.000e-1, 5.879e+2, -2.429e+3, 2.500e+3, -76.4
4.900e-1, 5.853e+2, -2.451e+3, 2.520e+3, -76.6
4.800e-1, 5.825e+2, -2.469e+3, 2.537e+3, -76.7
4.700e-1, 5.785e+2, -2.481e+3, 2.548e+3, -76.9
4.600e-1, 5.738e+2, -2.488e+3, 2.553e+3, -77.0
4.500e-1, 5.699e+2, -2.492e+3, 2.557e+3, -77.1
4.400e-1, 5.650e+2, -2.494e+3, 2.557e+3, -77.2
4.300e-1, 5.605e+2, -2.493e+3, 2.555e+3, -77.3
4.200e-1, 5.559e+2, -2.488e+3, 2.550e+3, -77.4
4.100e-1, 5.518e+2, -2.482e+3, 2.542e+3, -77.5
4.000e-1, 5.486e+2, -2.471e+3, 2.532e+3, -77.5
3.900e-1, 5.471e+2, -2.458e+3, 2.519e+3, -77.5
3.800e-1, 5.477e+2, -2.442e+3, 2.503e+3, -77.4
3.700e-1, 5.518e+2, -2.423e+3, 2.485e+3, -77.2
3.600e-1, 5.601e+2, -2.399e+3, 2.464e+3, -76.9
3.500e-1, 5.744e+2, -2.368e+3, 2.437e+3, -76.4
3.400e-1, 5.951e+2, -2.326e+3, 2.401e+3, -75.6
3.300e-1, 6.232e+2, -2.267e+3, 2.351e+3, -74.6
3.200e-1, 6.580e+2, -2.183e+3, 2.280e+3, -73.2
3.100e-1, 6.980e+2, -2.067e+3, 2.182e+3, -71.3
3.000e-1, 7.363e+2, -1.915e+3, 2.052e+3, -69.0
2.900e-1, 7.662e+2, -1.728e+3, 1.890e+3, -66.1
2.800e-1, 7.778e+2, -1.513e+3, 1.701e+3, -62.8
2.700e-1, 7.658e+2, -1.292e+3, 1.502e+3, -59.3
2.600e-1, 7.326e+2, -1.085e+3, 1.309e+3, -56.0
2.500e-1, 6.874e+2, -9.104e+2, 1.141e+3, -52.9
2.400e-1, 6.417e+2, -7.793e+2, 1.010e+3, -50.5
2.300e-1, 6.063e+2, -6.906e+2, 9.190e+2, -48.7
2.200e-1, 5.865e+2, -6.441e+2, 8.711e+2, -47.7
2.100e-1, 5.856e+2, -6.370e+2, 8.652e+2, -47.4
2.000e-1, 6.041e+2, -6.686e+2, 9.010e+2, -47.9
1.900e-1, 6.404e+2, -7.401e+2, 9.787e+2, -49.1
1.800e-1, 6.905e+2, -8.528e+2, 1.097e+3, -51.0
1.700e-1, 7.470e+2, -1.005e+3, 1.252e+3, -53.4
1.600e-1, 8.001e+2, -1.188e+3, 1.432e+3, -56.0
1.500e-1, 8.416e+2, -1.389e+3, 1.624e+3, -58.8
1.400e-1, 8.665e+2, -1.600e+3, 1.820e+3, -61.6
1.300e-1, 8.727e+2, -1.804e+3, 2.004e+3, -64.2
1.200e-1, 8.615e+2, -1.992e+3, 2.170e+3, -66.6
1.100e-1, 8.384e+2, -2.155e+3, 2.312e+3, -68.7
1.000e-1, 8.082e+2, -2.293e+3, 2.431e+3, -70.6
9.000e-2, 7.755e+2, -2.407e+3, 2.529e+3, -72.1
8.000e-2, 7.436e+2, -2.498e+3, 2.606e+3, -73.4
7.000e-2, 7.159e+2, -2.570e+3, 2.668e+3, -74.4
6.000e-2, 6.928e+2, -2.624e+3, 2.714e+3, -75.2
5.000e-2, 6.743e+2, -2.665e+3, 2.749e+3, -75.8
4.000e-2, 6.597e+2, -2.696e+3, 2.775e+3, -76.2
3.000e-2, 6.497e+2, -2.717e+3, 2.793e+3, -76.5
2.000e-2, 6.425e+2, -2.730e+3, 2.805e+3, -76.8
1.000e-2, 6.367e+2, -2.739e+3, 2.812e+3, -76.9
1.937e-7, 6.334e+2, -2.744e+3, 2.816e+3, -77.0
-1.000e-2, 6.308e+2, -2.746e+3, 2.818e+3, -77.1
-2.000e-2, 6.295e+2, -2.745e+3, 2.817e+3, -77.1
-3.000e-2, 6.296e+2, -2.744e+3, 2.815e+3, -77.1
-4.000e-2, 6.286e+2, -2.740e+3, 2.812e+3, -77.1
-5.000e-2, 6.293e+2, -2.736e+3, 2.808e+3, -77.0
-6.000e-2, 6.292e+2, -2.732e+3, 2.803e+3, -77.0
-7.000e-2, 6.302e+2, -2.726e+3, 2.798e+3, -77.0
-8.000e-2, 6.312e+2, -2.720e+3, 2.793e+3, -76.9
-9.000e-2, 6.317e+2, -2.715e+3, 2.787e+3, -76.9
-1.000e-1, 6.325e+2, -2.708e+3, 2.781e+3, -76.9
