Apr. 7, 2019   12:01:46
Impedance - Time
File: D:\process\data\impt1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.2
Amplitude (V) = 0.005
Frequency (Hz) = 962
Sample Interval (s) = 2
Run Time (sec) = 100
Quiet Time (sec) = 2

time/s, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

2.000e+0, 1.292e+2, -1.806e+2, 2.221e+2, -54.4
4.000e+0, 1.294e+2, -1.809e+2, 2.224e+2, -54.4
6.000e+0, 1.295e+2, -1.809e+2, 2.225e+2, -54.4
8.000e+0, 1.297e+2, -1.811e+2, 2.227e+2, -54.4
1.000e+1, 1.296e+2, -1.811e+2, 2.227e+2, -54.4
1.200e+1, 1.297e+2, -1.812e+2, 2.229e+2, -54.4
1.400e+1, 1.297e+2, -1.813e+2, 2.229e+2, -54.4
1.600e+1, 1.298e+2, -1.814e+2, 2.230e+2, -54.4
1.800e+1, 1.298e+2, -1.814e+2, 2.230e+2, -54.4
2.000e+1, 1.299e+2, -1.814e+2, 2.231e+2, -54.4
2.200e+1, 1.299e+2, -1.814e+2, 2.231e+2, -54.4
2.400e+1, 1.300e+2, -1.814e+2, 2.232e+2, -54.4
2.600e+1, 1.300e+2, -1.815e+2, 2.233e+2, -54.4
2.800e+1, 1.300e+2, -1.815e+2, 2.233e+2, -54.4
3.000e+1, 1.301e+2, -1.816e+2, 2.233e+2, -54.4
3.200e+1, 1.301e+2, -1.816e+2, 2.234e+2, -54.4
3.400e+1, 1.301e+2, -1.816e+2, 2.234e+2, -54.4
3.600e+1, 1.302e+2, -1.816e+2, 2.235e+2, -54.4
3.800e+1, 1.301e+2, -1.816e+2, 2.235e+2, -54.4
4.000e+1, 1.303e+2, -1.817e+2, 2.236e+2, -54.4
4.200e+1, 1.303e+2, -1.817e+2, 2.236e+2, -54.4
4.400e+1, 1.303e+2, -1.817e+2, 2.236e+2, -54.4
4.600e+1, 1.302e+2, -1.817e+2, 2.236e+2, -54.4
4.800e+1, 1.303e+2, -1.818e+2, 2.237e+2, -54.4
5.000e+1, 1.304e+2, -1.817e+2, 2.236e+2, -54.3
5.200e+1, 1.303e+2, -1.817e+2, 2.236e+2, -54.4
5.400e+1, 1.304e+2, -1.818e+2, 2.238e+2, -54.3
5.600e+1, 1.305e+2, -1.818e+2, 2.238e+2, -54.3
5.800e+1, 1.304e+2, -1.819e+2, 2.238e+2, -54.4
6.000e+1, 1.304e+2, -1.818e+2, 2.237e+2, -54.3
6.200e+1, 1.304e+2, -1.819e+2, 2.238e+2, -54.4
6.400e+1, 1.305e+2, -1.818e+2, 2.238e+2, -54.3
6.600e+1, 1.305e+2, -1.819e+2, 2.239e+2, -54.3
6.800e+1, 1.305e+2, -1.819e+2, 2.239e+2, -54.3
7.000e+1, 1.304e+2, -1.820e+2, 2.239e+2, -54.4
7.200e+1, 1.305e+2, -1.819e+2, 2.239e+2, -54.3
7.400e+1, 1.306e+2, -1.820e+2, 2.240e+2, -54.3
7.600e+1, 1.306e+2, -1.819e+2, 2.239e+2, -54.3
7.800e+1, 1.306e+2, -1.820e+2, 2.240e+2, -54.3
8.000e+1, 1.306e+2, -1.820e+2, 2.240e+2, -54.3
8.200e+1, 1.307e+2, -1.820e+2, 2.240e+2, -54.3
8.400e+1, 1.306e+2, -1.820e+2, 2.241e+2, -54.3
8.600e+1, 1.306e+2, -1.820e+2, 2.240e+2, -54.3
8.800e+1, 1.307e+2, -1.820e+2, 2.241e+2, -54.3
9.000e+1, 1.307e+2, -1.820e+2, 2.240e+2, -54.3
9.200e+1, 1.307e+2, -1.821e+2, 2.241e+2, -54.3
9.400e+1, 1.307e+2, -1.821e+2, 2.241e+2, -54.3
9.600e+1, 1.307e+2, -1.821e+2, 2.242e+2, -54.3
9.800e+1, 1.307e+2, -1.822e+2, 2.242e+2, -54.3
1.000e+2, 1.307e+2, -1.821e+2, 2.242e+2, -54.3
