Apr. 7, 2019   11:54:03
Amperometric i-t Curve
File: D:\process\data\it1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, Current/A

1.000e-1, 4.512e-6
2.000e-1, 3.954e-6
3.000e-1, 3.562e-6
4.000e-1, 3.266e-6
5.000e-1, 3.032e-6
6.000e-1, 2.841e-6
7.000e-1, 2.681e-6
8.000e-1, 2.545e-6
9.000e-1, 2.428e-6
1.000e+0, 2.325e-6
1.100e+0, 2.235e-6
1.200e+0, 2.154e-6
1.300e+0, 2.081e-6
1.400e+0, 2.015e-6
1.500e+0, 1.956e-6
1.600e+0, 1.901e-6
1.700e+0, 1.851e-6
1.800e+0, 1.805e-6
1.900e+0, 1.762e-6
2.000e+0, 1.722e-6
2.100e+0, 1.686e-6
2.200e+0, 1.651e-6
2.300e+0, 1.619e-6
2.400e+0, 1.588e-6
2.500e+0, 1.559e-6
2.600e+0, 1.532e-6
2.700e+0, 1.507e-6
2.800e+0, 1.482e-6
2.900e+0, 1.459e-6
3.000e+0, 1.438e-6
3.100e+0, 1.417e-6
3.200e+0, 1.397e-6
3.300e+0, 1.378e-6
3.400e+0, 1.360e-6
3.500e+0, 1.343e-6
3.600e+0, 1.326e-6
3.700e+0, 1.310e-6
3.800e+0, 1.295e-6
3.900e+0, 1.280e-6
4.000e+0, 1.266e-6
4.100e+0, 1.252e-6
4.200e+0, 1.239e-6
4.300e+0, 1.226e-6
4.400e+0, 1.214e-6
4.500e+0, 1.202e-6
4.600e+0, 1.190e-6
4.700e+0, 1.179e-6
4.800e+0, 1.169e-6
4.900e+0, 1.158e-6
5.000e+0, 1.148e-6
5.100e+0, 1.138e-6
5.200e+0, 1.129e-6
5.300e+0, 1.119e-6
5.400e+0, 1.110e-6
5.500e+0, 1.102e-6
5.600e+0, 1.093e-6
5.700e+0, 1.085e-6
5.800e+0, 1.077e-6
5.900e+0, 1.069e-6
6.000e+0, 1.061e-6
6.100e+0, 1.054e-6
6.200e+0, 1.047e-6
6.300e+0, 1.040e-6
6.400e+0, 1.033e-6
6.500e+0, 1.026e-6
6.600e+0, 1.019e-6
6.700e+0, 1.013e-6
6.800e+0, 1.006e-6
6.900e+0, 1.000e-6
7.000e+0, 9.941e-7
7.100e+0, 9.882e-7
7.200e+0, 9.824e-7
7.300e+0, 9.766e-7
7.400e+0, 9.711e-7
7.500e+0, 9.657e-7
7.600e+0, 9.604e-7
7.700e+0, 9.551e-7
7.800e+0, 9.500e-7
7.900e+0, 9.449e-7
8.000e+0, 9.400e-7
8.100e+0, 9.351e-7
8.200e+0, 9.304e-7
8.300e+0, 9.258e-7
8.400e+0, 9.212e-7
8.500e+0, 9.167e-7
8.600e+0, 9.123e-7
8.700e+0, 9.080e-7
8.800e+0, 9.037e-7
8.900e+0, 8.996e-7
9.000e+0, 8.955e-7
9.100e+0, 8.914e-7
9.200e+0, 8.875e-7
9.300e+0, 8.836e-7
9.400e+0, 8.798e-7
9.500e+0, 8.759e-7
9.600e+0, 8.722e-7
9.700e+0, 8.685e-7
9.800e+0, 8.649e-7
9.900e+0, 8.614e-7
1.000e+1, 8.579e-7
1.010e+1, 8.544e-7
1.020e+1, 8.510e-7
1.030e+1, 8.477e-7
1.040e+1, 8.445e-7
1.050e+1, 8.412e-7
1.060e+1, 8.380e-7
1.070e+1, 8.348e-7
1.080e+1, 8.317e-7
1.090e+1, 8.287e-7
1.100e+1, 8.257e-7
1.110e+1, 8.227e-7
1.120e+1, 8.197e-7
1.130e+1, 8.169e-7
1.140e+1, 8.140e-7
1.150e+1, 8.112e-7
1.160e+1, 8.085e-7
1.170e+1, 8.057e-7
1.180e+1, 8.030e-7
1.190e+1, 8.003e-7
1.200e+1, 7.977e-7
1.210e+1, 7.951e-7
1.220e+1, 7.924e-7
1.230e+1, 7.899e-7
1.240e+1, 7.874e-7
1.250e+1, 7.849e-7
1.260e+1, 7.825e-7
1.270e+1, 7.801e-7
1.280e+1, 7.777e-7
1.290e+1, 7.753e-7
1.300e+1, 7.730e-7
1.310e+1, 7.708e-7
1.320e+1, 7.685e-7
1.330e+1, 7.662e-7
1.340e+1, 7.640e-7
1.350e+1, 7.618e-7
1.360e+1, 7.596e-7
1.370e+1, 7.575e-7
1.380e+1, 7.554e-7
1.390e+1, 7.532e-7
1.400e+1, 7.512e-7
1.410e+1, 7.492e-7
1.420e+1, 7.472e-7
1.430e+1, 7.452e-7
1.440e+1, 7.432e-7
1.450e+1, 7.412e-7
1.460e+1, 7.393e-7
1.470e+1, 7.374e-7
1.480e+1, 7.355e-7
1.490e+1, 7.336e-7
1.500e+1, 7.318e-7
1.510e+1, 7.300e-7
1.520e+1, 7.282e-7
1.530e+1, 7.263e-7
1.540e+1, 7.246e-7
1.550e+1, 7.227e-7
1.560e+1, 7.210e-7
1.570e+1, 7.192e-7
1.580e+1, 7.175e-7
1.590e+1, 7.158e-7
1.600e+1, 7.141e-7
1.610e+1, 7.124e-7
1.620e+1, 7.108e-7
1.630e+1, 7.092e-7
1.640e+1, 7.075e-7
1.650e+1, 7.059e-7
1.660e+1, 7.043e-7
1.670e+1, 7.027e-7
1.680e+1, 7.012e-7
1.690e+1, 6.996e-7
1.700e+1, 6.981e-7
1.710e+1, 6.966e-7
1.720e+1, 6.950e-7
1.730e+1, 6.936e-7
1.740e+1, 6.922e-7
1.750e+1, 6.907e-7
1.760e+1, 6.892e-7
1.770e+1, 6.878e-7
1.780e+1, 6.864e-7
1.790e+1, 6.850e-7
1.800e+1, 6.836e-7
1.810e+1, 6.821e-7
1.820e+1, 6.808e-7
1.830e+1, 6.794e-7
1.840e+1, 6.781e-7
1.850e+1, 6.767e-7
1.860e+1, 6.754e-7
1.870e+1, 6.741e-7
1.880e+1, 6.727e-7
1.890e+1, 6.715e-7
1.900e+1, 6.702e-7
1.910e+1, 6.689e-7
1.920e+1, 6.677e-7
1.930e+1, 6.664e-7
1.940e+1, 6.651e-7
1.950e+1, 6.639e-7
1.960e+1, 6.627e-7
1.970e+1, 6.614e-7
1.980e+1, 6.603e-7
1.990e+1, 6.590e-7
