Apr. 7, 2019   11:36:06
Linear Sweep Voltammetry
File: D:\process\data\lsv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Potential/V, Current/A

0.500, -4.460e-7
0.499, -3.843e-7
0.498, -3.557e-7
0.497, -3.329e-7
0.496, -3.160e-7
0.495, -2.984e-7
0.494, -2.834e-7
0.493, -2.706e-7
0.492, -2.562e-7
0.491, -2.460e-7
0.490, -2.350e-7
0.489, -2.232e-7
0.488, -2.139e-7
0.487, -2.042e-7
0.486, -1.956e-7
0.485, -1.870e-7
0.484, -1.770e-7
0.483, -1.712e-7
0.482, -1.619e-7
0.481, -1.534e-7
0.480, -1.474e-7
0.479, -1.393e-7
0.478, -1.321e-7
0.477, -1.266e-7
0.476, -1.178e-7
0.475, -1.128e-7
0.474, -1.069e-7
0.473, -9.961e-8
0.472, -9.446e-8
0.471, -8.808e-8
0.470, -8.263e-8
0.469, -7.713e-8
0.468, -6.980e-8
0.467, -6.636e-8
0.466, -6.055e-8
0.465, -5.424e-8
0.464, -5.122e-8
0.463, -4.441e-8
0.462, -3.990e-8
0.461, -3.592e-8
0.460, -2.967e-8
0.459, -2.669e-8
0.458, -2.188e-8
0.457, -1.658e-8
0.456, -1.291e-8
0.455, -7.837e-9
0.454, -3.606e-9
0.453, -3.835e-11
0.452, 6.021e-9
0.451, 7.748e-9
0.450, 1.279e-8
0.449, 1.802e-8
0.448, 1.981e-8
0.447, 2.490e-8
0.446, 2.860e-8
0.445, 3.153e-8
0.444, 3.720e-8
0.443, 3.941e-8
0.442, 4.318e-8
0.441, 4.825e-8
0.440, 5.041e-8
0.439, 5.444e-8
0.438, 5.770e-8
0.437, 6.124e-8
0.436, 6.583e-8
0.435, 6.660e-8
0.434, 7.081e-8
0.433, 7.537e-8
0.432, 7.668e-8
0.431, 8.169e-8
0.430, 8.433e-8
0.429, 8.722e-8
0.428, 9.208e-8
0.427, 9.320e-8
0.426, 9.634e-8
0.425, 1.008e-7
0.424, 1.030e-7
0.423, 1.060e-7
0.422, 1.091e-7
0.421, 1.115e-7
0.420, 1.160e-7
0.419, 1.169e-7
0.418, 1.206e-7
0.417, 1.245e-7
0.416, 1.263e-7
0.415, 1.297e-7
0.414, 1.322e-7
0.413, 1.344e-7
0.412, 1.389e-7
0.411, 1.403e-7
0.410, 1.452e-7
0.409, 1.473e-7
0.408, 1.491e-7
0.407, 1.516e-7
0.406, 1.546e-7
0.405, 1.567e-7
0.404, 1.611e-7
0.403, 1.619e-7
0.402, 1.649e-7
0.401, 1.689e-7
0.400, 1.695e-7
0.399, 1.736e-7
0.398, 1.762e-7
0.397, 1.775e-7
0.396, 1.818e-7
0.395, 1.830e-7
0.394, 1.856e-7
0.393, 1.893e-7
0.392, 1.914e-7
0.391, 1.942e-7
0.390, 1.967e-7
0.389, 1.990e-7
0.388, 2.030e-7
0.387, 2.037e-7
0.386, 2.072e-7
0.385, 2.107e-7
0.384, 2.111e-7
0.383, 2.152e-7
0.382, 2.179e-7
0.381, 2.191e-7
0.380, 2.239e-7
0.379, 2.249e-7
0.378, 2.275e-7
0.377, 2.317e-7
0.376, 2.334e-7
0.375, 2.362e-7
0.374, 2.391e-7
0.373, 2.416e-7
0.372, 2.460e-7
0.371, 2.461e-7
0.370, 2.495e-7
0.369, 2.538e-7
0.368, 2.549e-7
0.367, 2.589e-7
0.366, 2.618e-7
0.365, 2.638e-7
0.364, 2.689e-7
0.363, 2.699e-7
0.362, 2.725e-7
0.361, 2.773e-7
0.360, 2.792e-7
0.359, 2.825e-7
0.358, 2.857e-7
0.357, 2.882e-7
0.356, 2.931e-7
0.355, 2.939e-7
0.354, 2.983e-7
0.353, 3.026e-7
0.352, 3.047e-7
0.351, 3.089e-7
0.350, 3.126e-7
0.349, 3.147e-7
0.348, 3.205e-7
0.347, 3.225e-7
0.346, 3.260e-7
0.345, 3.312e-7
0.344, 3.336e-7
0.343, 3.382e-7
0.342, 3.424e-7
0.341, 3.456e-7
0.340, 3.520e-7
0.339, 3.541e-7
