Apr. 7, 2019   11:41:41
Normal Pulse Voltammetry
File: D:\process\data\npv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.2
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Potential/V, Current/A

0.496, -1.276e-6
0.492, -1.143e-6
0.488, -1.020e-6
0.484, -9.046e-7
0.480, -7.954e-7
0.476, -6.907e-7
0.472, -5.912e-7
0.468, -4.956e-7
0.464, -4.034e-7
0.460, -3.145e-7
0.456, -2.280e-7
0.452, -1.436e-7
0.448, -6.152e-8
0.444, 1.929e-8
0.440, 9.879e-8
0.436, 1.765e-7
0.432, 2.524e-7
0.428, 3.272e-7
0.424, 4.007e-7
0.420, 4.734e-7
0.416, 5.452e-7
0.412, 6.163e-7
0.408, 6.872e-7
0.404, 7.572e-7
0.400, 8.264e-7
0.396, 8.956e-7
0.392, 9.642e-7
0.388, 1.033e-6
0.384, 1.100e-6
0.380, 1.169e-6
0.376, 1.237e-6
0.372, 1.305e-6
0.368, 1.373e-6
0.364, 1.443e-6
0.360, 1.513e-6
0.356, 1.583e-6
0.352, 1.655e-6
0.348, 1.728e-6
0.344, 1.802e-6
0.340, 1.879e-6
0.336, 1.957e-6
0.332, 2.038e-6
0.328, 2.121e-6
0.324, 2.208e-6
0.320, 2.298e-6
0.316, 2.394e-6
0.312, 2.494e-6
0.308, 2.601e-6
0.304, 2.714e-6
0.300, 2.836e-6
0.296, 2.967e-6
0.292, 3.109e-6
0.288, 3.262e-6
0.284, 3.430e-6
0.280, 3.613e-6
0.276, 3.814e-6
0.272, 4.034e-6
0.268, 4.276e-6
0.264, 4.541e-6
0.260, 4.832e-6
0.256, 5.150e-6
0.252, 5.497e-6
0.248, 5.874e-6
0.244, 6.282e-6
0.240, 6.717e-6
0.236, 7.186e-6
0.232, 7.678e-6
0.228, 8.195e-6
0.224, 8.731e-6
0.220, 9.285e-6
0.216, 9.846e-6
0.212, 1.041e-5
0.208, 1.097e-5
0.204, 1.153e-5
0.200, 1.207e-5
0.196, 1.259e-5
0.192, 1.309e-5
0.188, 1.356e-5
0.184, 1.401e-5
0.180, 1.443e-5
0.176, 1.481e-5
0.172, 1.517e-5
0.168, 1.550e-5
0.164, 1.581e-5
0.160, 1.609e-5
0.156, 1.635e-5
0.152, 1.659e-5
0.148, 1.681e-5
0.144, 1.701e-5
0.140, 1.720e-5
0.136, 1.737e-5
0.132, 1.754e-5
0.128, 1.769e-5
0.124, 1.784e-5
0.120, 1.797e-5
0.116, 1.810e-5
0.112, 1.822e-5
0.108, 1.834e-5
0.104, 1.845e-5
0.100, 1.856e-5
0.096, 1.866e-5
0.092, 1.875e-5
0.088, 1.885e-5
0.084, 1.894e-5
0.080, 1.902e-5
0.076, 1.911e-5
0.072, 1.919e-5
0.068, 1.927e-5
0.064, 1.935e-5
0.060, 1.942e-5
0.056, 1.949e-5
0.052, 1.957e-5
0.048, 1.964e-5
0.044, 1.971e-5
0.040, 1.978e-5
0.036, 1.985e-5
0.032, 1.991e-5
0.028, 1.998e-5
0.024, 2.005e-5
0.020, 2.011e-5
0.016, 2.018e-5
0.012, 2.024e-5
0.008, 2.031e-5
0.004, 2.037e-5
-0.000, 2.044e-5
-0.004, 2.050e-5
-0.008, 2.057e-5
-0.012, 2.063e-5
-0.016, 2.069e-5
-0.020, 2.076e-5
-0.024, 2.082e-5
-0.028, 2.089e-5
-0.032, 2.095e-5
-0.036, 2.102e-5
-0.040, 2.108e-5
-0.044, 2.115e-5
-0.048, 2.121e-5
-0.052, 2.128e-5
-0.056, 2.134e-5
-0.060, 2.141e-5
-0.064, 2.147e-5
-0.068, 2.154e-5
-0.072, 2.161e-5
-0.076, 2.167e-5
-0.080, 2.174e-5
-0.084, 2.181e-5
-0.088, 2.188e-5
-0.092, 2.195e-5
-0.096, 2.202e-5
-0.100, 2.209e-5
