Apr. 7, 2019   12:03:33
Open Circuit Potential - Time
File: D:\process\data\ocpt1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Run Time (sec) = 40

Time/sec, Potential/V

1.000e-1, 4.204e-1
2.000e-1, 4.185e-1
3.000e-1, 4.166e-1
4.000e-1, 4.146e-1
5.000e-1, 4.126e-1
6.000e-1, 4.107e-1
7.000e-1, 4.088e-1
8.000e-1, 4.069e-1
9.000e-1, 4.050e-1
1.000e+0, 4.031e-1
1.100e+0, 4.012e-1
1.200e+0, 3.994e-1
1.300e+0, 3.976e-1
1.400e+0, 3.958e-1
1.500e+0, 3.940e-1
1.600e+0, 3.923e-1
1.700e+0, 3.906e-1
1.800e+0, 3.889e-1
1.900e+0, 3.872e-1
2.000e+0, 3.855e-1
2.100e+0, 3.839e-1
2.200e+0, 3.823e-1
2.300e+0, 3.807e-1
2.400e+0, 3.791e-1
2.500e+0, 3.777e-1
2.600e+0, 3.761e-1
2.700e+0, 3.746e-1
2.800e+0, 3.731e-1
2.900e+0, 3.716e-1
3.000e+0, 3.702e-1
3.100e+0, 3.687e-1
3.200e+0, 3.673e-1
3.300e+0, 3.659e-1
3.400e+0, 3.645e-1
3.500e+0, 3.631e-1
3.600e+0, 3.618e-1
3.700e+0, 3.604e-1
3.800e+0, 3.591e-1
3.900e+0, 3.579e-1
4.000e+0, 3.566e-1
4.100e+0, 3.554e-1
4.200e+0, 3.541e-1
4.300e+0, 3.529e-1
4.400e+0, 3.517e-1
4.500e+0, 3.505e-1
4.600e+0, 3.493e-1
4.700e+0, 3.482e-1
4.800e+0, 3.471e-1
4.900e+0, 3.460e-1
5.000e+0, 3.449e-1
5.100e+0, 3.438e-1
5.200e+0, 3.428e-1
5.300e+0, 3.417e-1
5.400e+0, 3.407e-1
5.500e+0, 3.397e-1
5.600e+0, 3.388e-1
5.700e+0, 3.378e-1
5.800e+0, 3.368e-1
5.900e+0, 3.359e-1
6.000e+0, 3.350e-1
6.100e+0, 3.341e-1
6.200e+0, 3.332e-1
6.300e+0, 3.323e-1
6.400e+0, 3.315e-1
6.500e+0, 3.306e-1
6.600e+0, 3.298e-1
6.700e+0, 3.290e-1
6.800e+0, 3.282e-1
6.900e+0, 3.274e-1
7.000e+0, 3.266e-1
7.100e+0, 3.259e-1
7.200e+0, 3.251e-1
7.300e+0, 3.244e-1
7.400e+0, 3.237e-1
7.500e+0, 3.230e-1
7.600e+0, 3.223e-1
7.700e+0, 3.216e-1
7.800e+0, 3.209e-1
7.900e+0, 3.203e-1
8.000e+0, 3.196e-1
8.100e+0, 3.190e-1
8.200e+0, 3.184e-1
8.300e+0, 3.178e-1
8.400e+0, 3.172e-1
8.500e+0, 3.166e-1
8.600e+0, 3.160e-1
8.700e+0, 3.154e-1
8.800e+0, 3.149e-1
8.900e+0, 3.144e-1
9.000e+0, 3.138e-1
9.100e+0, 3.133e-1
9.200e+0, 3.128e-1
9.300e+0, 3.123e-1
9.400e+0, 3.118e-1
9.500e+0, 3.113e-1
9.600e+0, 3.108e-1
9.700e+0, 3.104e-1
9.800e+0, 3.099e-1
9.900e+0, 3.095e-1
1.000e+1, 3.090e-1
1.010e+1, 3.086e-1
1.020e+1, 3.081e-1
1.030e+1, 3.077e-1
1.040e+1, 3.073e-1
1.050e+1, 3.069e-1
1.060e+1, 3.065e-1
1.070e+1, 3.061e-1
1.080e+1, 3.057e-1
1.090e+1, 3.053e-1
1.100e+1, 3.050e-1
1.110e+1, 3.046e-1
1.120e+1, 3.042e-1
1.130e+1, 3.039e-1
1.140e+1, 3.035e-1
1.150e+1, 3.032e-1
1.160e+1, 3.029e-1
1.170e+1, 3.025e-1
1.180e+1, 3.022e-1
1.190e+1, 3.019e-1
1.200e+1, 3.016e-1
1.210e+1, 3.012e-1
1.220e+1, 3.009e-1
1.230e+1, 3.006e-1
1.240e+1, 3.003e-1
1.250e+1, 3.001e-1
1.260e+1, 2.998e-1
