Apr. 7, 2019   11:37:18
Staircase Voltammetry
File: D:\process\data\scv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Segment = 2
Sample Width (sec) = 0.0167
Step Period (sec) = 0.2
Quiet Time (sec) = 10
Sensitivity (A/V) = 1e-6

Potential/V, Current/A

0.500, -3.124e-7
0.496, -2.809e-7
0.492, -2.597e-7
0.488, -2.429e-7
0.484, -2.288e-7
0.480, -2.162e-7
0.476, -2.053e-7
0.472, -1.952e-7
0.468, -1.859e-7
0.464, -1.773e-7
0.460, -1.689e-7
0.456, -1.615e-7
0.452, -1.541e-7
0.448, -1.474e-7
0.444, -1.406e-7
0.440, -1.345e-7
0.436, -1.284e-7
0.432, -1.230e-7
0.428, -1.171e-7
0.424, -1.118e-7
0.420, -1.065e-7
0.416, -1.015e-7
0.412, -9.672e-8
0.408, -9.182e-8
0.404, -8.714e-8
0.400, -8.253e-8
0.396, -7.819e-8
0.392, -7.350e-8
0.388, -6.916e-8
0.384, -6.500e-8
0.380, -6.038e-8
0.376, -5.619e-8
0.372, -5.167e-8
0.368, -4.721e-8
0.364, -4.239e-8
0.360, -3.756e-8
0.356, -3.271e-8
0.352, -2.750e-8
0.348, -2.226e-8
0.344, -1.669e-8
0.340, -1.028e-8
0.336, -3.850e-9
0.332, 3.441e-9
0.328, 1.123e-8
0.324, 1.982e-8
0.320, 2.893e-8
0.316, 3.942e-8
0.312, 5.112e-8
0.308, 6.394e-8
0.304, 7.856e-8
0.300, 9.530e-8
0.296, 1.132e-7
0.292, 1.344e-7
0.288, 1.576e-7
0.284, 1.845e-7
0.280, 2.140e-7
0.276, 2.486e-7
0.272, 2.863e-7
0.268, 3.287e-7
0.264, 3.762e-7
0.260, 4.302e-7
0.256, 4.875e-7
0.252, 5.516e-7
0.248, 6.196e-7
0.244, 6.941e-7
0.240, 7.720e-7
0.236, 8.556e-7
0.232, 9.421e-7
0.228, 1.028e-6
0.224, 1.116e-6
0.220, 1.203e-6
0.216, 1.287e-6
0.212, 1.368e-6
0.208, 1.442e-6
0.204, 1.511e-6
0.200, 1.570e-6
0.196, 1.622e-6
0.192, 1.664e-6
0.188, 1.699e-6
0.184, 1.725e-6
0.180, 1.742e-6
0.176, 1.753e-6
0.172, 1.757e-6
0.168, 1.755e-6
0.164, 1.748e-6
0.160, 1.738e-6
0.156, 1.724e-6
0.152, 1.708e-6
0.148, 1.690e-6
0.144, 1.671e-6
0.140, 1.650e-6
0.136, 1.629e-6
0.132, 1.607e-6
0.128, 1.585e-6
0.124, 1.564e-6
0.120, 1.542e-6
0.116, 1.521e-6
0.112, 1.500e-6
0.108, 1.480e-6
0.104, 1.460e-6
0.100, 1.441e-6
0.096, 1.422e-6
0.092, 1.404e-6
0.088, 1.386e-6
0.084, 1.370e-6
0.080, 1.354e-6
0.076, 1.339e-6
0.072, 1.324e-6
0.068, 1.310e-6
0.064, 1.296e-6
0.060, 1.284e-6
0.056, 1.271e-6
0.052, 1.260e-6
0.048, 1.249e-6
0.044, 1.239e-6
0.040, 1.229e-6
0.036, 1.220e-6
0.032, 1.211e-6
0.028, 1.203e-6
0.024, 1.196e-6
0.020, 1.189e-6
0.016, 1.182e-6
0.012, 1.176e-6
0.008, 1.171e-6
0.004, 1.166e-6
-0.000, 1.162e-6
-0.004, 1.158e-6
-0.008, 1.154e-6
-0.012, 1.151e-6
-0.016, 1.148e-6
-0.020, 1.146e-6
-0.024, 1.144e-6
-0.028, 1.143e-6
-0.032, 1.142e-6
-0.036, 1.142e-6
-0.040, 1.142e-6
-0.044, 1.142e-6
-0.048, 1.143e-6
-0.052, 1.145e-6
-0.056, 1.147e-6
-0.060, 1.149e-6
-0.064, 1.152e-6
-0.068, 1.155e-6
-0.072, 1.159e-6
-0.076, 1.163e-6
-0.080, 1.168e-6
-0.084, 1.173e-6
-0.088, 1.179e-6
-0.092, 1.186e-6
-0.096, 1.192e-6
-0.100, 1.200e-6
-0.096, 1.132e-6
-0.092, 1.082e-6
-0.088, 1.041e-6
-0.084, 1.006e-6
-0.080, 9.756e-7
-0.076, 9.480e-7
-0.072, 9.227e-7
-0.068, 9.000e-7
-0.064, 8.790e-7
-0.060, 8.596e-7
-0.056, 8.415e-7
-0.052, 8.249e-7
-0.048, 8.089e-7
-0.044, 7.942e-7
-0.040, 7.800e-7
-0.036, 7.667e-7
-0.032, 7.546e-7
-0.028, 7.427e-7
-0.024, 7.315e-7
-0.020, 7.206e-7
-0.016, 7.100e-7
-0.012, 7.001e-7
-0.008, 6.906e-7
-0.004, 6.813e-7
0.000, 6.724e-7
0.004, 6.638e-7
0.008, 6.555e-7
0.012, 6.474e-7
0.016, 6.393e-7
0.020, 6.314e-7
0.024, 6.238e-7
0.028, 6.163e-7
0.032, 6.084e-7
0.036, 6.010e-7
0.040, 5.933e-7
0.044, 5.858e-7
0.048, 5.778e-7
0.052, 5.702e-7
0.056, 5.619e-7
0.060, 5.536e-7
0.064, 5.449e-7
0.068, 5.359e-7
0.072, 5.266e-7
0.076, 5.168e-7
0.080, 5.066e-7
0.084, 4.961e-7
0.088, 4.848e-7
0.092, 4.727e-7
0.096, 4.599e-7
0.100, 4.468e-7
0.104, 4.321e-7
0.108, 4.168e-7
0.112, 4.000e-7
0.116, 3.825e-7
0.120, 3.630e-7
0.124, 3.424e-7
0.128, 3.199e-7
0.132, 2.954e-7
0.136, 2.685e-7
0.140, 2.397e-7
0.144, 2.075e-7
0.148, 1.723e-7
0.152, 1.332e-7
0.156, 9.090e-8
0.160, 4.320e-8
0.164, -8.433e-9
0.168, -6.490e-8
0.172, -1.262e-7
0.176, -1.934e-7
0.180, -2.637e-7
0.184, -3.405e-7
0.188, -4.207e-7
0.192, -5.046e-7
0.196, -5.903e-7
0.200, -6.770e-7
0.204, -7.640e-7
0.208, -8.490e-7
0.212, -9.299e-7
0.216, -1.006e-6
0.220, -1.076e-6
0.224, -1.139e-6
0.228, -1.193e-6
0.232, -1.238e-6
0.236, -1.275e-6
0.240, -1.303e-6
0.244, -1.321e-6
0.248, -1.333e-6
0.252, -1.335e-6
0.256, -1.333e-6
0.260, -1.324e-6
0.264, -1.311e-6
0.268, -1.293e-6
0.272, -1.274e-6
0.276, -1.250e-6
0.280, -1.226e-6
0.284, -1.201e-6
0.288, -1.175e-6
0.292, -1.148e-6
0.296, -1.122e-6
0.300, -1.096e-6
0.304, -1.071e-6
0.308, -1.045e-6
0.312, -1.021e-6
0.316, -9.976e-7
0.320, -9.753e-7
0.324, -9.535e-7
0.328, -9.328e-7
0.332, -9.132e-7
0.336, -8.943e-7
0.340, -8.766e-7
0.344, -8.595e-7
0.348, -8.434e-7
0.352, -8.280e-7
0.356, -8.134e-7
0.360, -7.997e-7
0.364, -7.864e-7
0.368, -7.742e-7
0.372, -7.621e-7
0.376, -7.509e-7
0.380, -7.401e-7
0.384, -7.302e-7
0.388, -7.202e-7
0.392, -7.114e-7
0.396, -7.028e-7
0.400, -6.944e-7
0.404, -6.865e-7
0.408, -6.790e-7
0.412, -6.721e-7
0.416, -6.655e-7
0.420, -6.592e-7
0.424, -6.533e-7
0.428, -6.475e-7
0.432, -6.424e-7
0.436, -6.370e-7
0.440, -6.323e-7
0.444, -6.276e-7
0.448, -6.236e-7
0.452, -6.194e-7
0.456, -6.159e-7
0.460, -6.122e-7
0.464, -6.094e-7
0.468, -6.064e-7
0.472, -6.035e-7
0.476, -6.012e-7
0.480, -5.990e-7
0.484, -5.971e-7
0.488, -5.953e-7
0.492, -5.938e-7
0.496, -5.929e-7
