Apr. 7, 2019   11:48:37
2nd Harmonic A.C. Voltammetry
File: D:\process\data\shacv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 100
Sample Period (sec) = 1
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5


Potential/V, Total(i/A), In-phase(i/A), Out-of-phase(i/A)

0.496, 4.799e-8, -3.616e-8, 3.156e-8
0.492, 4.214e-8, -3.119e-8, 2.834e-8
0.488, 3.821e-8, -2.719e-8, 2.685e-8
0.484, 3.440e-8, -2.362e-8, 2.501e-8
0.480, 3.299e-8, -2.067e-8, 2.571e-8
0.476, 2.942e-8, -1.817e-8, 2.313e-8
0.472, 2.688e-8, -1.508e-8, 2.225e-8
0.468, 2.366e-8, -1.196e-8, 2.042e-8
0.464, 2.110e-8, -8.230e-9, 1.943e-8
0.460, 1.783e-8, -6.560e-9, 1.658e-8
0.456, 1.530e-8, -3.961e-9, 1.478e-8
0.452, 1.379e-8, -9.976e-10, 1.375e-8
0.448, 1.261e-8, 7.797e-10, 1.259e-8
0.444, 1.185e-8, 4.749e-9, 1.086e-8
0.440, 1.148e-8, 7.272e-9, 8.884e-9
0.436, 1.209e-8, 9.758e-9, 7.133e-9
0.432, 1.328e-8, 1.208e-8, 5.510e-9
0.428, 1.539e-8, 1.475e-8, 4.408e-9
0.424, 1.784e-8, 1.764e-8, 2.657e-9
0.420, 2.081e-8, 2.080e-8, 7.350e-10
0.416, 2.261e-8, 2.257e-8, -1.328e-9
0.412, 2.547e-8, 2.525e-8, -3.384e-9
0.408, 2.863e-8, 2.790e-8, -6.419e-9
0.404, 3.164e-8, 3.040e-8, -8.768e-9
0.400, 3.367e-8, 3.174e-8, -1.123e-8
0.396, 3.627e-8, 3.342e-8, -1.409e-8
0.392, 3.993e-8, 3.559e-8, -1.812e-8
0.388, 4.271e-8, 3.692e-8, -2.147e-8
0.384, 4.245e-8, 3.462e-8, -2.457e-8
0.380, 4.861e-8, 3.888e-8, -2.918e-8
0.376, 5.259e-8, 4.078e-8, -3.320e-8
0.372, 5.764e-8, 4.199e-8, -3.949e-8
0.368, 6.254e-8, 4.290e-8, -4.551e-8
0.364, 6.857e-8, 4.428e-8, -5.236e-8
0.360, 7.504e-8, 4.554e-8, -5.964e-8
0.356, 8.409e-8, 4.788e-8, -6.912e-8
0.352, 9.401e-8, 5.076e-8, -7.914e-8
0.348, 1.041e-7, 5.093e-8, -9.077e-8
0.344, 1.208e-7, 5.855e-8, -1.057e-7
0.340, 1.357e-7, 6.353e-8, -1.199e-7
0.336, 1.561e-7, 6.961e-8, -1.397e-7
0.332, 1.797e-7, 7.862e-8, -1.616e-7
0.328, 2.076e-7, 8.971e-8, -1.872e-7
0.324, 2.370e-7, 1.006e-7, -2.146e-7
0.320, 2.736e-7, 1.156e-7, -2.479e-7
0.316, 3.148e-7, 1.326e-7, -2.855e-7
0.312, 3.634e-7, 1.526e-7, -3.298e-7
0.308, 4.179e-7, 1.737e-7, -3.800e-7
0.304, 4.741e-7, 1.967e-7, -4.314e-7
0.300, 5.413e-7, 2.227e-7, -4.933e-7
0.296, 6.168e-7, 2.514e-7, -5.632e-7
0.292, 6.990e-7, 2.817e-7, -6.397e-7
0.288, 7.801e-7, 3.104e-7, -7.157e-7
0.284, 8.744e-7, 3.424e-7, -8.046e-7
0.280, 9.728e-7, 3.738e-7, -8.981e-7
0.276, 1.076e-6, 4.037e-7, -9.969e-7
0.272, 1.176e-6, 4.317e-7, -1.094e-6
0.268, 1.268e-6, 4.542e-7, -1.184e-6
0.264, 1.361e-6, 4.726e-7, -1.276e-6
0.260, 1.442e-6, 4.852e-7, -1.358e-6
0.256, 1.506e-6, 4.897e-7, -1.424e-6
0.252, 1.546e-6, 4.864e-7, -1.467e-6
0.248, 1.564e-6, 4.716e-7, -1.491e-6
0.244, 1.549e-6, 4.476e-7, -1.483e-6
0.240, 1.498e-6, 4.122e-7, -1.440e-6
0.236, 1.408e-6, 3.673e-7, -1.359e-6
0.232, 1.288e-6, 3.159e-7, -1.248e-6
0.228, 1.121e-6, 2.529e-7, -1.092e-6
0.224, 9.156e-7, 1.849e-7, -8.967e-7
0.220, 6.808e-7, 1.100e-7, -6.718e-7
0.216, 4.226e-7, 3.244e-8, -4.213e-7
0.212, 1.812e-7, -4.026e-8, -1.766e-7
0.208, 1.513e-7, -1.191e-7, 9.319e-8
0.204, 4.071e-7, -1.938e-7, 3.580e-7
0.200, 6.642e-7, -2.662e-7, 6.086e-7
0.196, 8.822e-7, -3.277e-7, 8.190e-7
0.192, 1.087e-6, -3.880e-7, 1.016e-6
0.188, 1.256e-6, -4.394e-7, 1.177e-6
0.184, 1.386e-6, -4.816e-7, 1.300e-6
0.180, 1.475e-6, -5.159e-7, 1.382e-6
0.176, 1.524e-6, -5.384e-7, 1.425e-6
0.172, 1.541e-6, -5.490e-7, 1.440e-6
0.168, 1.529e-6, -5.576e-7, 1.424e-6
0.164, 1.490e-6, -5.533e-7, 1.383e-6
0.160, 1.438e-6, -5.434e-7, 1.332e-6
0.156, 1.363e-6, -5.267e-7, 1.257e-6
0.152, 1.279e-6, -5.037e-7, 1.175e-6
