Apr. 7, 2019   11:43:01
Square Wave Voltammetry
File: D:\process\data\swv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Difference:

Potential/V, Diff(i/A), For(i/A), Rev(i/A)

0.496, 1.241e-6, -4.106e-7, -1.652e-6
0.492, 1.244e-6, -3.517e-7, -1.595e-6
0.488, 1.237e-6, -3.105e-7, -1.547e-6
0.484, 1.231e-6, -2.745e-7, -1.506e-6
0.480, 1.224e-6, -2.419e-7, -1.466e-6
0.476, 1.215e-6, -2.138e-7, -1.429e-6
0.472, 1.210e-6, -1.872e-7, -1.397e-6
0.468, 1.205e-6, -1.614e-7, -1.366e-6
0.464, 1.199e-6, -1.376e-7, -1.337e-6
0.460, 1.194e-6, -1.159e-7, -1.310e-6
0.456, 1.189e-6, -9.379e-8, -1.283e-6
0.452, 1.184e-6, -7.486e-8, -1.259e-6
0.448, 1.181e-6, -5.478e-8, -1.236e-6
0.444, 1.178e-6, -3.615e-8, -1.214e-6
0.440, 1.175e-6, -1.834e-8, -1.193e-6
0.436, 1.172e-6, -1.179e-9, -1.174e-6
0.432, 1.170e-6, 1.573e-8, -1.154e-6
0.428, 1.169e-6, 3.266e-8, -1.137e-6
0.424, 1.169e-6, 4.919e-8, -1.119e-6
0.420, 1.168e-6, 6.475e-8, -1.103e-6
0.416, 1.168e-6, 8.095e-8, -1.087e-6
0.412, 1.171e-6, 9.679e-8, -1.074e-6
0.408, 1.172e-6, 1.128e-7, -1.059e-6
0.404, 1.174e-6, 1.283e-7, -1.046e-6
0.400, 1.178e-6, 1.448e-7, -1.033e-6
0.396, 1.183e-6, 1.609e-7, -1.022e-6
0.392, 1.188e-6, 1.780e-7, -1.010e-6
0.388, 1.194e-6, 1.944e-7, -9.999e-7
0.384, 1.204e-6, 2.134e-7, -9.910e-7
0.380, 1.216e-6, 2.320e-7, -9.837e-7
0.376, 1.227e-6, 2.521e-7, -9.753e-7
0.372, 1.242e-6, 2.724e-7, -9.695e-7
0.368, 1.260e-6, 2.958e-7, -9.640e-7
0.364, 1.279e-6, 3.190e-7, -9.598e-7
0.360, 1.302e-6, 3.451e-7, -9.574e-7
0.356, 1.330e-6, 3.737e-7, -9.566e-7
0.352, 1.361e-6, 4.051e-7, -9.562e-7
0.348, 1.397e-6, 4.388e-7, -9.586e-7
0.344, 1.441e-6, 4.780e-7, -9.633e-7
0.340, 1.488e-6, 5.191e-7, -9.691e-7
0.336, 1.545e-6, 5.669e-7, -9.785e-7
0.332, 1.611e-6, 6.208e-7, -9.903e-7
0.328, 1.685e-6, 6.803e-7, -1.005e-6
0.324, 1.774e-6, 7.482e-7, -1.025e-6
0.320, 1.871e-6, 8.241e-7, -1.047e-6
0.316, 1.985e-6, 9.101e-7, -1.075e-6
0.312, 2.117e-6, 1.009e-6, -1.108e-6
0.308, 2.266e-6, 1.119e-6, -1.147e-6
0.304, 2.435e-6, 1.243e-6, -1.192e-6
0.300, 2.628e-6, 1.383e-6, -1.245e-6
0.296, 2.850e-6, 1.544e-6, -1.306e-6
0.292, 3.098e-6, 1.722e-6, -1.376e-6
0.288, 3.377e-6, 1.922e-6, -1.455e-6
0.284, 3.687e-6, 2.144e-6, -1.543e-6
0.280, 4.032e-6, 2.390e-6, -1.642e-6
0.276, 4.406e-6, 2.657e-6, -1.749e-6
0.272, 4.817e-6, 2.951e-6, -1.866e-6
0.268, 5.257e-6, 3.265e-6, -1.992e-6
0.264, 5.724e-6, 3.601e-6, -2.123e-6
0.260, 6.216e-6, 3.955e-6, -2.261e-6
0.256, 6.726e-6, 4.325e-6, -2.401e-6
0.252, 7.238e-6, 4.699e-6, -2.539e-6
