Apr. 7, 2019   11:39:31
Tafel Plot
File: D:\process\data\tafel1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Segment = 2
Hold Time at Ef (sec) = 0
Scan Rate (V/s) = 0.01
Quiet Time (sec) = 10

Potential/V, Current/A, log(i/A)

0.500, -2.654e-7, -6.576e+0
0.499, -2.489e-7, -6.604e+0
0.498, -2.385e-7, -6.622e+0
0.497, -2.314e-7, -6.636e+0
0.496, -2.257e-7, -6.646e+0
0.495, -2.206e-7, -6.656e+0
0.494, -2.163e-7, -6.665e+0
0.493, -2.122e-7, -6.673e+0
0.492, -2.085e-7, -6.681e+0
0.491, -2.052e-7, -6.688e+0
0.490, -2.019e-7, -6.695e+0
0.489, -1.989e-7, -6.701e+0
0.488, -1.960e-7, -6.708e+0
0.487, -1.931e-7, -6.714e+0
0.486, -1.909e-7, -6.719e+0
0.485, -1.882e-7, -6.725e+0
0.484, -1.856e-7, -6.731e+0
0.483, -1.834e-7, -6.737e+0
0.482, -1.810e-7, -6.742e+0
0.481, -1.787e-7, -6.748e+0
0.480, -1.766e-7, -6.753e+0
0.479, -1.743e-7, -6.759e+0
0.478, -1.724e-7, -6.763e+0
0.477, -1.704e-7, -6.768e+0
0.476, -1.684e-7, -6.774e+0
0.475, -1.665e-7, -6.779e+0
0.474, -1.646e-7, -6.784e+0
0.473, -1.628e-7, -6.788e+0
0.472, -1.610e-7, -6.793e+0
0.471, -1.591e-7, -6.798e+0
0.470, -1.576e-7, -6.802e+0
0.469, -1.558e-7, -6.808e+0
0.468, -1.540e-7, -6.812e+0
0.467, -1.525e-7, -6.817e+0
0.466, -1.507e-7, -6.822e+0
0.465, -1.491e-7, -6.827e+0
0.464, -1.476e-7, -6.831e+0
0.463, -1.460e-7, -6.836e+0
0.462, -1.445e-7, -6.840e+0
0.461, -1.430e-7, -6.845e+0
0.460, -1.415e-7, -6.849e+0
0.459, -1.401e-7, -6.854e+0
0.458, -1.386e-7, -6.858e+0
0.457, -1.373e-7, -6.862e+0
0.456, -1.358e-7, -6.867e+0
0.455, -1.344e-7, -6.872e+0
0.454, -1.331e-7, -6.876e+0
0.453, -1.318e-7, -6.880e+0
0.452, -1.304e-7, -6.885e+0
0.451, -1.293e-7, -6.889e+0
0.450, -1.278e-7, -6.893e+0
0.449, -1.265e-7, -6.898e+0
0.448, -1.254e-7, -6.902e+0
0.447, -1.240e-7, -6.907e+0
